bike_station_id,fsq_id,venue_name,category,address,distance,price,rating,total_ratings
3181,51cb98c8498ed6ec740c065e,The Rest,Cocktail Bar,331 S Main St,776.0,3.0,8.5,51
3181,4e0249b81838cb6a1ad0d4b3,Maxwell's East Coast Eatery,Sports Bar,357 S Main St,792.0,2.0,7.4,138
3181,5b529687c824ae002c63ee9a,London Belle,Pub,321 S Main St,793.0,1.0,7.0,9
3181,4cf4737e94feb1f7823928ba,Clouseau's,Hotel Bar,600 S West Temple,812.0,3.0,,
3181,59b5a1d631fd145ab6d42e86,Quarters Arcade Bar,Arcade,5 E 400 S,818.0,2.0,8.5,23
3181,4ad4f28ef964a52017fd20e3,Club Manhattan,Night Club,5 E 400 S,818.0,3.0,,
7799,6100afb8adb6851310320c38,Why Kiki,Cocktail Bar,69 W 100 S,126.0,,,
7799,5feebf4a4838d2298b5c17f7,Varley,Cocktail Bar,63 W 100 S,133.0,3.0,,
7799,5f7b7167bdff7a19a0d5f8da,The Ivy,Bar,55 W 100 S,144.0,2.0,,
7799,4f32c9d319836c91c7fababb,Ticket Exchange,Bar,123 S West Temple,165.0,,,
7799,4f32c29f19836c91c7f78aa3,Salt Lake Exotics,Concert Hall,123 S West Temple,165.0,,,
7799,4aef5fccf964a520f1d721e3,BeerHive Pub & Grill,Beer Garden,128 S Main St,284.0,2.0,8.1,255
7799,8e2e129e0b7e482c76eebe22,Pulp,Bar,51 S Main St,306.0,2.0,,
7799,4d3e2a14a2e4b1f714acf825,The Bar Inside The Radisson,Hotel Bar,215 W South Temple,339.0,3.0,,
7799,4ad4f28ff964a52043fd20e3,O'shucks Bar & Grill,Pub,22 E 100 S,342.0,1.0,5.3,27
7799,5bdbaa99336273002b9e822a,Fat Jack's Tap House,Beer Bar,206 S West Temple,360.0,1.0,,
7799,58c8a033d243323eaf8cc6ff,Lake Effect,Cocktail Bar,155 W 200 S,365.0,2.0,8.7,68
7799,4bc296d6abf49521d3ccc293,The Vault,Hotel Bar,,376.0,3.0,7.6,24
7799,580faff338facf4e2cdf21b1,Patrick's Pub,Beer Bar,163 W 200 S,382.0,2.0,,
7799,22bfe04c3fd94d5a8c404ea5,The Ruin,Bar,159 S Main St,382.0,,,
7799,4c75ff01c219224b973da428,Elevate,Night Club,155 W 200 S,388.0,,5.7,30
7799,44dccccbbf924e0fa41ac5e9,The Office SLC Lounge,Night Club,122 W Pierpont Ave,414.0,,,
7799,59f54fff1acf117283df15f8,Avant Groove,Jazz and Blues Venue,122 W Pierpont Ave,414.0,,,
7799,4ad4f290f964a520c8fd20e3,Baci Trattoria,Bar,134 W Pierpont Ave,426.0,2.0,,
7799,4e0b66506284a62b5bc10ae9,Wine Bar At Baci,Wine Bar,140 W Pierpont Ave,437.0,2.0,,
7799,6412642447271a0f7fba5411,Van Ryder,Rooftop Bar,131 S 300 W,453.0,,,
7799,5d858ffab4965100086a4dc9,Golden Axe Throwin,Bar,145 W Pierpont Ave,481.0,2.0,,
7799,4ae3d9ddf964a520509921e3,Poplar Street Pub,Karaoke Bar,242 S 200 W,522.0,2.0,7.3,144
