bike_station_id,yelp_id,venue_name,category,address,distance,price,rating,total_ratings
3425,u9SeSgmY4Sp_8VOxpVEg_g,Market Street Oyster Bar,Seafood,54 W Market St,381.82708723867154,,3.1,23
3425,xplneaOOWVZRHKCrvOctMw,Maxwell's Little Bar,Sports Bars,328 W 200 S,394.28854159028833,,0.0,0
3425,i-5idxuSe775AJ1bLaWohQ,Caffé Molise,Italian,404 S West Temple,413.5122075590264,3.0,4.0,941
3425,9HkX5SV_vuuFc5A6bxKBeQ,The Vault,Cocktail Bars,202 S Main St,414.7481095301078,,0.0,0
3425,KT8sIEg-M8ohNWmXSjrGjQ,BTG Wine Bar,Wine Bars,404 S West Temple,414.85628182940945,2.0,4.1,297
3425,305sr-HT796zcCw56s50vw,the people lounge,Lounges,268 S Main St,421.01163915230086,,5.0,1
3425,DB862rqt1NTTxA6ZW1Lkmw,HandoSake,Sushi Bars,222 S Main St,436.49962886261756,,4.9,13
3425,5xS9pkX8s0PaQUl5ade2VA,Mi Buena Vida Slc,Mexican,170 S Main St,439.23665989574516,,5.0,1
3425,DJYuzDKS__pFhf7Ogf5h_w,Varley,Cocktail Bars,63 W 100th S,453.9980248378744,2.0,4.0,96
3425,4zeHtY4U2F-AWgRfv3rgvw,The Break Sports Grill Downtown SLC,Sports Bars,140 S 300th W,456.5118339675156,2.0,3.8,70
3425,XDUlenDAc_hy7FesXFbeTg,Ivy & Varley,Bars,55 W 100th S,471.10604483737956,2.0,4.1,436
3425,x78hPktla-cp6Swjdk4leg,Destinations,Lounges,75 South West Temple,482.4094618690792,2.0,4.5,4
3425,Nvh-7Lh34TrJMPE2uuQkRQ,Boomerangs,Irish Pub,160 S Main St,487.6737828633201,1.0,3.3,106
3425,i-HvyjGBKREEMLQoNxH0RQ,Cheers To You,Dive Bars,315 S Main St,510.0786897706707,1.0,2.4,291
3425,TztukoGDLX6ObjpRZxj83g,The Temerario Club,Cocktail Bars,315 S Main St,510.0786897706707,,0.0,0
3425,gWtVOApXq3xaA9Y-iAMgUA,London Belle,Bars,321 Main St,512.2067994316465,2.0,4.1,308
3425,JfgI0_6DFtopbLxz1HZ5Ew,Bodega,New American,331 S Main St,514.5250190569127,3.0,4.0,399
3425,iC07-jSfyOWxKBqYH658kw,White Horse,Cocktail Bars,325 S Main St,514.8511273570557,2.0,4.5,1320
3425,gtFuq1rgDf0aZvb6-ilaSA,999 Steuben’s Uptown,Diners,323 S Main St,516.7280799221863,,0.0,0
3425,m-7rn9RWSK4Ep8hjilyPqQ,Beerhive Pub,Pubs,128 S Main St,521.513961390586,2.0,4.0,504
3425,pfyNG7R2Dcc0iSf5R1RaCg,Whiskey Street,New American,323 S Main St,527.5087901358575,2.0,4.1,1521
3425,uBcEwotALCbFaYhINueLTQ,Bad Caddy Golf Lounge,Golf,451 S 300th W,537.2796331428877,,4.5,11
3425,25tX-u_519LRI1KVNbVkwg,Ruin,Lounges,159 S Main St,546.375886114747,2.0,4.3,168
3425,Frp6dBCSLduGI3C4g4HlaA,Felt Bar & Eatery,Bars,341 S Main St,554.8287877113329,,4.6,26
7681,_5h0U_19I7m4oEsg6_8Dhg,The Sun Trapp,Gay Bars,102 S 600th W,318.5087012070788,1.0,3.4,91
7681,No1xcC39LZkBr42lYx1ssA,The Complex,Bars,536 West 100 S,473.0482541325587,2.0,2.5,100
7681,K8uK3gIlf0NlNQXfLmzJWw,Weathered Waves,Bars,158 S Rio Grande St,585.3759828169914,,3.0,2
7681,tfgk5GJzoFaqNB9JQz_uGA,Dave & Buster's Salt Lake City,Arcades,140 S Rio Grande St,591.3660297744267,2.0,3.0,312
7681,9wQrgGa6M6Us7IQYjFKIkw,Beer Zombies,Cocktail Bars,153 Rio Grande St,643.739445538316,,2.7,28
7681,Zn5X8C_6YtskhjODT9wUxA,The Bruce Scottish Pub,Sports Bars,169 S Rio Grande St,695.6746349175094,,3.1,17
7681,YLF93K9312IwDhfYRsvrdw,Rico Brand,Mexican,945 West Folsom Ave,709.8937393152489,,2.4,7
7681,-XLvo4RB8JMszJluvL9e-w,Seabird,Cocktail Bars,400 W 100th S,765.0355644738382,,4.3,26
7681,uQ8C9Ea_ryUIqZVLqYnOlg,Fleming’s Prime Steakhouse & Wine Bar,Steakhouses,20 S 400th W,775.0027390456673,3.0,4.0,548
7681,xXOnDF2zdJmxnMySpAzgqA,Flanker Kitchen And Sporting Club,Sports Bars,6 N Rio Grande St,819.7779374591904,,3.4,208
7681,5Pxm4IvAfUEscXhIdvEVng,Asher Adams,Cocktail Bars,2 S 400th W,845.9786344284346,,0.0,0
7681,xplneaOOWVZRHKCrvOctMw,Maxwell's Little Bar,Sports Bars,328 W 200 S,854.6881938853047,,0.0,0
7681,4zeHtY4U2F-AWgRfv3rgvw,The Break Sports Grill Downtown SLC,Sports Bars,140 S 300th W,958.3499717121831,2.0,3.8,70
7681,XoN1n1_LgWzPmpJGqPCO-Q,Club X,Dance Clubs,445 S 400 W,964.8561247693069,2.0,3.8,5
7681,2iHo3JHkOUx5XVHtg_vvkg,Lo-Fi Cafe,Dive Bars,445 S 400th W,978.7744586617713,,1.0,1
7681,ugXyTpgOxNXBBllc1YoZaQ,Bewilder Brewing,Pubs,445 S 400th W,985.3291526611603,,4.2,145
7681,ded8BT8XlT-rugGBngUk7A,Van Ryder,Bars,131 S 300th W,994.7667838277148,,3.4,132
7681,aHD4hYX_XYjUr3eaH9Crkw,Adelaide Urban Brasserie,Desserts,131 S 300th W,1016.8005101399741,,4.1,88
7681,HqymTJou4vGqyD4JG7a52w,Carson Kitchen,New American,241 W 200th S,1077.6049181999829,2.0,4.3,531
7681,78UyP0sFX_30cCw1fZ5upg,Poplar Street Pub,Pubs,242 S 200th W,1155.394977657627,2.0,3.4,248
7681,oR5m2Yn5lRX22MLyJnMnUQ,Kiitos Brewing,Breweries,608 W 700th S,1167.2094881626444,2.0,4.6,141
